iter	F1	Logloss
0	0.5145584726	0.6912616886
1	0.6188452369	0.6895575987
2	0.5705078342	0.6877807926
3	0.6005583473	0.6861981917
4	0.6329276105	0.6842533
5	0.6220772159	0.6827921729
6	0.6265165592	0.6813492901
7	0.6325782093	0.679793709
8	0.6372172429	0.6785453004
9	0.6400341807	0.6771515013
10	0.6365295823	0.6757266747
11	0.6438605898	0.6744198015
12	0.6445295871	0.6732760046
13	0.646884273	0.6717964039
14	0.6500315856	0.6705010067
15	0.655110831	0.6691447268
16	0.6588088036	0.6678941098
17	0.6585187507	0.6667274028
18	0.6610861149	0.6654202418
19	0.6602671119	0.6641101167
20	0.6626241505	0.6629081024
21	0.6607050016	0.6617096718
22	0.6612668744	0.6604173388
23	0.6619341564	0.6592331492
24	0.6647356988	0.6581311456
25	0.6643913538	0.6567549158
26	0.6628051303	0.655792293
27	0.6637021717	0.654746569
28	0.6663919225	0.6535367874
29	0.6641798777	0.6524318141
30	0.6626020461	0.651470499
31	0.6629434274	0.6503131053
32	0.6643934697	0.6491993874
33	0.6662548898	0.6479917201
34	0.6669407895	0.647168386
35	0.6688558235	0.6461546265
36	0.6679008536	0.6451945933
37	0.6694138251	0.6440764621
38	0.6685908669	0.6431508638
39	0.6686585617	0.6417960403
40	0.6696888523	0.6407651036
41	0.6709836571	0.6396446128
42	0.6708586744	0.6386451543
43	0.6712102437	0.6376740965
44	0.6709849887	0.6365757289
45	0.6730393668	0.6356983993
46	0.6728337959	0.6346430248
47	0.6732652851	0.633750993
48	0.6747112211	0.6328312791
49	0.6777339697	0.6319050143
50	0.677892111	0.6309832618
51	0.6787424526	0.6301168291
52	0.6789790413	0.6291628767
53	0.6778433199	0.6282686081
54	0.6785268414	0.6275154546
55	0.6793869252	0.626538035
56	0.679641965	0.6255402266
57	0.6789429879	0.6246001554
58	0.6805988771	0.6236921185
59	0.6822429907	0.6226839692
60	0.6815503876	0.621929303
61	0.68160694	0.6212027086
62	0.6813912684	0.6203639867
63	0.6822873658	0.6196408257
64	0.6822265827	0.6187586612
65	0.681568871	0.6179246825
66	0.6816487158	0.6170582001
67	0.681573499	0.6162161169
68	0.6825810487	0.6154402006
69	0.6820725389	0.6146147614
70	0.6832168562	0.6138024246
71	0.6842982091	0.6130939659
72	0.6839313573	0.6124100244
73	0.684533084	0.6115846867
74	0.6830781961	0.6108387152
75	0.6847534557	0.6100290923
76	0.685625966	0.6093622192
77	0.6881608957	0.6087046861
78	0.6856494377	0.6079655883
79	0.6837483211	0.6073208147
80	0.6858261228	0.60637835
81	0.6845250361	0.6056584982
82	0.6838842975	0.605028094
83	0.6848834811	0.6043616839
84	0.684471025	0.6036082491
85	0.6851411436	0.6029339421
86	0.6864284239	0.6022792103
