iter	Passed	Remaining
0	5	2694
1	9	2466
2	14	2419
3	22	2729
4	26	2670
5	32	2702
6	37	2622
7	42	2584
8	46	2560
9	52	2562
10	56	2529
11	62	2527
12	70	2654
13	77	2674
14	82	2657
15	86	2607
16	90	2577
17	97	2603
18	101	2582
19	107	2573
20	111	2551
21	118	2566
22	123	2554
23	131	2608
24	136	2598
25	141	2579
26	145	2548
27	149	2521
28	154	2511
29	159	2502
30	170	2577
31	180	2645
32	187	2646
33	193	2649
34	199	2652
35	205	2643
36	213	2670
37	225	2745
38	230	2723
39	235	2706
40	241	2700
41	246	2683
42	251	2678
43	259	2692
44	269	2729
45	276	2733
46	281	2717
47	286	2702
48	292	2696
49	298	2682
50	303	2667
51	310	2674
52	323	2730
53	328	2715
54	334	2703
55	339	2688
56	344	2675
57	348	2658
58	354	2647
59	368	2701
60	374	2693
61	381	2691
62	389	2704
63	394	2688
64	400	2676
65	412	2713
66	423	2734
67	434	2761
68	441	2757
69	446	2744
70	454	2743
71	467	2780
72	474	2774
73	481	2772
74	495	2808
75	522	2916
76	530	2911
77	537	2910
78	545	2907
79	575	3018
80	580	3000
81	587	2994
82	595	2992
83	621	3077
84	635	3101
85	645	3106
86	661	3142
87	675	3161
88	683	3157
89	692	3154
90	701	3152
91	718	3184
92	727	3184
93	737	3186
94	746	3181
95	760	3200
96	772	3208
97	777	3189
98	782	3169
99	787	3151
100	792	3128
101	796	3109
102	814	3138
103	829	3160
104	843	3173
105	862	3206
106	876	3218
107	890	3230
108	897	3220
109	915	3245
110	926	3245
111	932	3230
112	943	3231
113	956	3238
114	969	3246
115	976	3232
116	983	3220
117	992	3211
118	1008	3227
119	1034	3275
120	1055	3305
121	1066	3305
122	1071	3284
123	1079	3272
124	1084	3254
125	1093	3246
126	1105	3247
127	1113	3235
128	1126	3238
129	1138	3239
130	1156	3258
131	1175	3275
132	1186	3274
133	1201	3282
134	1214	3283
135	1229	3291
136	1239	3283
137	1252	3284
138	1262	3279
139	1278	3288
140	1293	3292
141	1301	3281
142	1316	3286
143	1332	3293
144	1354	3315
145	1365	3310
146	1370	3290
147	1377	3275
148	1392	3279
149	1409	3288
150	1425	3294
151	1439	3296
152	1460	3312
153	1472	3307
154	1486	3308
155	1501	3310
156	1517	3315
157	1532	3317
158	1549	3322
159	1561	3319
160	1571	3308
161	1580	3298
162	1596	3299
163	1608	3294
164	1617	3284
165	1643	3306
166	1661	3312
167	1674	3309
168	1691	3313
169	1709	3319
170	1726	3321
171	1750	3337
172	1776	3357
173	1810	3392
174	1825	3389
175	1842	3392
176	1856	3388
177	1871	3386
178	1882	3375
179	1894	3367
180	1928	3398
181	1944	3397
182	1954	3385
183	1966	3376
184	1983	3377
185	2000	3377
186	2016	3375
187	2031	3370
188	2049	3372
189	2068	3374
190	2085	3373
191	2098	3365
192	2113	3361
193	2127	3356
194	2149	3362
195	2168	3363
196	2183	3358
197	2196	3350
198	2221	3359
199	2240	3360
200	2253	3352
201	2281	3365
202	2307	3375
203	2347	3405
204	2400	3454
205	2428	3465
206	2461	3483
207	2488	3493
208	2510	3495
209	2534	3499
210	2551	3494
211	2574	3496
212	2590	3490
213	2613	3492
214	2644	3505
215	2662	3501
216	2678	3493
217	2695	3486
218	2709	3476
219	2725	3468
220	2741	3461
221	2754	3448
