iter	Passed	Remaining
437	2490	352
438	2495	346
439	2499	340
440	2503	334
441	2509	329
442	2513	323
443	2519	317
444	2523	311
445	2531	306
446	2543	301
447	2551	296
448	2562	291
449	2574	286
450	2583	280
451	2588	274
452	2592	268
453	2599	263
454	2604	257
455	2613	252
456	2618	246
457	2622	240
458	2626	234
459	2631	228
460	2635	222
461	2640	217
462	2645	211
463	2650	205
464	2655	199
465	2659	194
466	2663	188
467	2668	182
468	2673	176
469	2678	170
470	2683	165
471	2688	159
472	2693	153
473	2697	147
474	2701	142
475	2706	136
476	2711	130
477	2716	125
478	2720	119
479	2724	113
480	2729	107
481	2735	102
482	2740	96
483	2745	90
484	2749	85
485	2754	79
486	2758	73
487	2763	67
488	2768	62
489	2772	56
490	2777	50
491	2782	45
492	2786	39
493	2791	33
494	2796	28
495	2800	22
496	2805	16
497	2809	11
498	2813	5
499	2818	0
