iter	F1	Logloss
0	0.5104632878	0.6915724606
1	0.5304761905	0.6901974145
2	0.5568772376	0.6886421132
3	0.5951641526	0.6870078236
4	0.6004172614	0.6852335246
5	0.6504854369	0.6835416946
6	0.640333507	0.6819579316
7	0.6496231412	0.6804367487
8	0.6530777812	0.6789671746
9	0.6623285614	0.6775907446
10	0.6566150774	0.6760451443
11	0.6619732276	0.6746311879
12	0.6612983398	0.6732097838
13	0.6623672983	0.6718809906
14	0.6626626627	0.6706047837
15	0.6663340651	0.6692157638
16	0.6645987593	0.667904272
17	0.6632344034	0.6667386827
18	0.66	0.6654172128
19	0.6632993232	0.664194521
20	0.663368336	0.662690395
21	0.6655854029	0.6614256068
22	0.6655193359	0.6602165449
23	0.6646279307	0.6588904561
24	0.6675499389	0.6575825731
25	0.6679643479	0.6567234489
26	0.6704906279	0.6554344434
27	0.6697247706	0.6541844053
28	0.6725771935	0.6531241895
29	0.6715746421	0.6520587262
30	0.6738819686	0.650744825
31	0.6742424242	0.6495942266
32	0.6758253024	0.6484035703
33	0.6755537326	0.6472654708
34	0.6773962071	0.6460655649
35	0.679326627	0.6450516206
36	0.6788463512	0.6439837593
37	0.6790516268	0.6428884496
38	0.6791136643	0.6416820341
39	0.6789479071	0.6406955186
40	0.6793767938	0.6396463734
41	0.6796554553	0.6388175533
42	0.6804757998	0.6376833185
43	0.67993843	0.6367295574
44	0.6798191533	0.6356806916
45	0.6803488969	0.6347477405
46	0.6816272159	0.6336576228
47	0.6835106383	0.6326754188
48	0.6831561733	0.6318086393
49	0.6824974411	0.6310131384
50	0.6826126955	0.6300395812
51	0.6823937908	0.6290306854
52	0.6828769922	0.6281093101
53	0.6842857143	0.6271708437
54	0.6834899877	0.6264190488
55	0.6827572101	0.6257318349
56	0.6833111634	0.6248722489
57	0.6847270497	0.6239488849
58	0.685270367	0.6231263038
59	0.6858370856	0.6223239206
60	0.6858135732	0.6213985788
61	0.6871365908	0.6205619681
62	0.687990221	0.6199203013
63	0.6871627812	0.6191501566
64	0.6889024888	0.61843441
65	0.6896973403	0.6176259842
66	0.6886956522	0.6167628267
67	0.6928064217	0.6158009851
68	0.6917463254	0.6149881182
69	0.692513369	0.6142443402
70	0.6919917864	0.6134239142
71	0.6927500513	0.6125705427
72	0.6925838548	0.6119191134
73	0.6917154296	0.6113795213
74	0.6907597536	0.6106432266
75	0.6912744796	0.6099291774
76	0.6930977814	0.6092693016
77	0.6928050908	0.60848982
78	0.6933169332	0.6077522658
79	0.6932760209	0.6070406979
80	0.6929294996	0.6061813285
81	0.694057377	0.6052456347
82	0.6935632892	0.6045755866
83	0.6945100051	0.6039288098
84	0.6933797909	0.6031111564
85	0.6933579715	0.6024467542
86	0.6925446704	0.6016926146
87	0.6931689779	0.6009929878
88	0.6933169332	0.6003829774
89	0.6942675159	0.5997131638
90	0.6943930992	0.5990243353
91	0.6943644591	0.5983020191
92	0.6946870825	0.5975524288
93	0.6950806203	0.5970660849
94	0.6947498202	0.5963796576
95	0.6937936704	0.5957876908
96	0.694713022	0.5952514409
97	0.6952135872	0.5946935288
98	0.694918741	0.5940515772
99	0.694998971	0.5934055537
100	0.6960008225	0.592640092
101	0.6961348684	0.5919299595
102	0.6966731898	0.5912852538
103	0.6971475646	0.5907019438
104	0.6974496092	0.5901384331
105	0.6968791843	0.5897226562
106	0.6967170938	0.5890451233
107	0.6970008217	0.5884370198
108	0.6977700134	0.5879299995
109	0.6979230927	0.5872660011
110	0.70207709	0.5866716803
111	0.7012207738	0.5862240548
112	0.7014600808	0.5854488738
113	0.7014090344	0.5847828783
114	0.7014090344	0.5841744563
115	0.7017107309	0.583717975
116	0.7038074489	0.5830586221
117	0.702921069	0.582551939
118	0.7050419298	0.5820050917
119	0.7039106145	0.5812955129
120	0.7045431026	0.5807055113
121	0.7044207475	0.5803855751
122	0.70562636	0.5798060034
123	0.7057969512	0.5793345383
124	0.7058213137	0.5786875091
125	0.7068697544	0.5782296274
126	0.7064191642	0.5776892719
127	0.7073094868	0.5771448708
128	0.7074914517	0.5765837801
129	0.7077848036	0.5762506547
130	0.7086140769	0.5756796833
131	0.7084886128	0.5752799231
132	0.7096307024	0.5747544258
133	0.7093239611	0.5741321463
134	0.7086695634	0.5736081835
135	0.709744227	0.5731661196
136	0.7099513306	0.5726643251
137	0.70999793	0.5720570488
138	0.7101044575	0.5715653156
139	0.7108583247	0.5710331811
140	0.710931844	0.5704527273
141	0.711377493	0.5699920064
142	0.7125154895	0.5694949899
143	0.7116893846	0.5690351841
144	0.7118819036	0.5684959079
145	0.7123259412	0.5679713324
146	0.7130470685	0.5675536336
