iter	F1	Logloss
0	0.6400265296	0.6915311517
1	0.6554367051	0.6897259286
2	0.6590473012	0.6883311686
3	0.4957705039	0.6867162504
4	0.669326768	0.6852215477
5	0.6727288936	0.6839012961
6	0.6751292048	0.6824725372
7	0.6515650741	0.6811169518
8	0.6672141244	0.6799033634
9	0.6581278685	0.6785329666
10	0.6670839854	0.6770374409
11	0.6666666667	0.6756651219
12	0.665770424	0.6743748471
13	0.6688687036	0.6728185486
14	0.6724330925	0.6714274706
15	0.6737330911	0.6699859446
16	0.6745074387	0.6684851463
17	0.6758164696	0.667125034
18	0.6748847464	0.6656908165
19	0.6749925067	0.6645037447
20	0.6752025608	0.6633973557
21	0.6795012469	0.6622677325
22	0.6788480636	0.6610432372
23	0.6789755807	0.6598078335
24	0.6757250051	0.6587806383
25	0.6757741348	0.6574604789
26	0.6784176264	0.6562667896
27	0.6762531646	0.6550488848
28	0.6771908521	0.6539022077
29	0.6720923045	0.6529068422
30	0.6727608874	0.6517550512
31	0.6750917244	0.6506229362
32	0.6728110599	0.6493532993
33	0.6744543498	0.6480333877
34	0.6740354109	0.6469167844
35	0.6749744637	0.6456856076
36	0.67625459	0.6445865238
37	0.677797007	0.6435838306
38	0.6788543571	0.6426465627
39	0.6790123457	0.641679211
40	0.6805541511	0.6405518873
41	0.6776389312	0.6396734543
42	0.6795014692	0.6387049406
43	0.6783387622	0.6376768427
44	0.6780075379	0.6368210723
45	0.6756618624	0.636030579
46	0.6772055074	0.6352157235
47	0.6769766489	0.6342451536
48	0.6773863171	0.6333835375
49	0.6760156733	0.6324936537
50	0.6776180698	0.6315408441
51	0.6779521904	0.630560027
52	0.6791405367	0.6297575217
53	0.6784539474	0.628779915
54	0.6791713903	0.6277386388
55	0.6770057899	0.6269429631
56	0.6782644714	0.6259323668
57	0.6789790413	0.6251808904
58	0.6778572169	0.624282156
59	0.6789370282	0.6232859253
60	0.6788479405	0.6223869314
61	0.6787928896	0.6216145794
62	0.6802313572	0.6208230267
63	0.6811011444	0.6198657244
64	0.6814387303	0.6189468353
65	0.6811311054	0.6180428104
66	0.6818695429	0.6171230706
67	0.6828867673	0.6163342213
68	0.681626351	0.6156691474
69	0.6809081527	0.6149236605
70	0.6829167527	0.6140797313
71	0.6835260116	0.6132225237
72	0.6837060703	0.6124290193
73	0.6825005141	0.6115639281
74	0.6837080382	0.6106934966
75	0.6844161184	0.6100944335
76	0.6848441198	0.6092369221
77	0.6847624923	0.6086229291
78	0.6858961199	0.607782569
79	0.6860131255	0.6070720216
80	0.6862121989	0.6064915733
81	0.6859190988	0.6056294196
82	0.6861761997	0.6049618402
83	0.6856909072	0.6041244821
84	0.685895469	0.6033245024
85	0.6861239119	0.6026472481
86	0.6869698518	0.6020141315
87	0.6872255693	0.6013415465
88	0.6873532714	0.6005260714
89	0.6872444808	0.5999427018
90	0.6877365245	0.5992172041
91	0.6871228393	0.5985441505
92	0.6870400654	0.5979448367
93	0.6875702175	0.5972986087
94	0.6889002558	0.5966813277
95	0.6908866995	0.5959391855
96	0.6909910833	0.595263126
97	0.6906857728	0.5946930799
98	0.6906445333	0.5941391187
99	0.6911885246	0.593444177
100	0.6904835233	0.5927862196
101	0.6917401107	0.5921416609
102	0.6917401107	0.5915495865
103	0.6918432095	0.5909443995
104	0.6919693095	0.5902801999
105	0.692504346	0.589595349
106	0.6944387441	0.5889864487
107	0.6950456457	0.588463649
108	0.6986258911	0.5877142981
109	0.6974433288	0.5869235381
110	0.6979435776	0.5862211639
111	0.6987478009	0.5857501102
112	0.6993903069	0.5851592338
113	0.6989669421	0.5846668932
114	0.7010757137	0.5840148632
115	0.7028145695	0.5833872178
116	0.702579509	0.5829630462
117	0.7023328149	0.5824363763
118	0.7018453245	0.5818184548
119	0.7023834197	0.5812902948
120	0.7022884954	0.5805795386
121	0.7026634884	0.5800111538
122	0.7032351721	0.5794212336
123	0.7028037383	0.5788504786
124	0.702764498	0.5783581653
125	0.7032579373	0.5777586124
126	0.7030504254	0.5773062524
127	0.7022536089	0.5768426576
128	0.7030504254	0.5763383101
129	0.7030340815	0.5757320549
130	0.7034726554	0.5753469568
131	0.7052107121	0.5748443629
132	0.7051122195	0.5745077463
133	0.7045147898	0.5739782334
134	0.7057116202	0.5735124628
135	0.7055532532	0.5729856348
136	0.7062726801	0.5723927811
137	0.7068339728	0.5719577513
138	0.7069072806	0.5715103097
139	0.7071147065	0.5708984085
140	0.7068947641	0.5701355054
141	0.7068697544	0.5696147711
142	0.7075647668	0.5690978145
143	0.7072715973	0.5686376029
144	0.7077337198	0.5682194723
145	0.7074407534	0.5676613309
146	0.7080397845	0.5672521771
147	0.7079279652	0.5668577359
148	0.7075999172	0.5663917045
149	0.7078325736	0.5659656048
150	0.7083808143	0.5655545501
151	0.7077464789	0.5650799706
152	0.7078802941	0.5645451509
153	0.7085016051	0.5639859865
154	0.7082469954	0.5635241411
155	0.7086222958	0.563030372
156	0.7088424104	0.5626165819
157	0.7081953642	0.5622600125
158	0.7086565312	0.5617241923
159	0.7094706369	0.5613597504
160	0.7098375918	0.5607970857
161	0.7101973344	0.5602357157
162	0.7103768715	0.5598972909
163	0.7100103199	0.5593987769
164	0.7106619922	0.5590014587
165	0.7116336634	0.5585654704
166	0.7109689403	0.5581494795
167	0.7118259614	0.5577047048
168	0.7126650165	0.5571348753
169	0.7130040219	0.5566336041
170	0.7131367292	0.556191082
171	0.7126792531	0.5558121078
172	0.7133126935	0.5554663667
173	0.714256241	0.5550682013
174	0.7143004433	0.5545342998
175	0.7144625542	0.5541908718
176	0.7144182212	0.5537973483
177	0.7143593444	0.5534339637
178	0.7140795712	0.553210972
179	0.714241518	0.5527929284
180	0.7138880297	0.5522700535
181	0.7143740978	0.551924693
182	0.7146095199	0.5515872637
183	0.7146095199	0.5512908898
184	0.7149778373	0.5509677197
185	0.7163778878	0.5505823271
186	0.7162148232	0.5502236854
187	0.7169811321	0.5498752294
188	0.7168488348	0.5496449365
189	0.716891683	0.5494154294
190	0.7174518091	0.5488803373
191	0.7170122769	0.5485088281
192	0.7182445658	0.548062375
193	0.7183925811	0.5476901836
194	0.7185086003	0.5474850732
195	0.7195385725	0.547088775
196	0.7196290572	0.5466802301
197	0.7195549145	0.5463700315
198	0.7198022861	0.5459902512
199	0.7200823893	0.5456396114
200	0.7201565558	0.5452627559
201	0.7210309278	0.5449045106
202	0.7211221122	0.5444679181
203	0.7217068646	0.5441652912
204	0.7219703215	0.5437312123
205	0.7215411559	0.5434079264
206	0.7212608158	0.5429662361
207	0.7215815486	0.5424841259
208	0.7214499022	0.5420898356
209	0.7221078633	0.5417475869
210	0.7213182286	0.5414764424
211	0.7217301751	0.5410993904
212	0.7218618062	0.5408421584
213	0.7221249871	0.5405532413
214	0.7226856143	0.5400722068
215	0.722628489	0.5396788839
216	0.7224624254	0.5393586312
217	0.7236056802	0.5389007006
218	0.7231545352	0.5384962986
219	0.7233034703	0.538108566
220	0.7235663544	0.5377515925
221	0.724148575	0.5373572332
222	0.7236977558	0.5370624287
223	0.7242798354	0.5367574899
224	0.7234349259	0.5363941619
225	0.7239604776	0.5361010776
226	0.7238291302	0.5358883092
227	0.7243899928	0.5354397481
228	0.7241840832	0.5351412944
229	0.724315421	0.534828343
230	0.7240917979	0.5345248213
231	0.7243932538	0.5341994146
232	0.7245244216	0.5339034615
233	0.7247866763	0.5336172279
234	0.7251413882	0.5333070858
235	0.7252159605	0.5330378571
236	0.7254599651	0.5326964
237	0.7253289474	0.5323670297
