iter	Passed	Remaining
0	5	2930
1	14	3683
2	20	3473
3	26	3250
4	37	3699
5	42	3507
6	52	3669
7	63	3935
8	73	4030
9	81	3995
10	92	4108
11	99	4053
12	108	4080
13	118	4107
14	126	4097
15	134	4065
16	140	4002
17	147	3947
18	152	3865
19	160	3844
20	171	3922
21	178	3884
22	184	3822
23	189	3761
24	195	3718
25	200	3661
26	207	3628
27	213	3592
28	220	3584
29	235	3691
30	248	3752
31	254	3717
32	261	3704
33	269	3699
34	276	3677
35	287	3703
36	300	3755
37	315	3831
38	328	3882
39	341	3923
40	351	3937
41	381	4163
42	396	4215
43	414	4300
44	428	4333
45	447	4416
46	471	4546
47	485	4570
48	515	4742
49	527	4746
50	537	4731
51	552	4756
52	563	4752
53	571	4719
54	578	4678
55	586	4647
56	601	4671
57	617	4709
58	632	4728
59	659	4836
60	678	4881
61	701	4954
62	716	4972
63	732	4987
64	753	5042
65	770	5067
66	783	5060
67	799	5078
68	815	5090
69	857	5265
70	865	5232
71	874	5200
72	887	5189
73	908	5229
74	920	5216
75	935	5217
76	961	5284
77	980	5303
78	1010	5382
79	1031	5412
80	1059	5479
81	1080	5506
82	1117	5615
83	1138	5637
84	1159	5660
85	1178	5674
86	1183	5617
87	1197	5605
88	1216	5617
89	1228	5595
90	1249	5616
91	1262	5599
92	1281	5609
93	1311	5665
94	1328	5663
95	1349	5679
96	1366	5677
97	1397	5734
98	1416	5738
99	1433	5735
100	1449	5727
101	1471	5740
102	1501	5789
103	1520	5788
104	1539	5789
105	1557	5789
106	1571	5771
107	1647	5979
108	1669	5989
109	1708	6057
110	1739	6096
111	1760	6097
112	1793	6143
113	1816	6152
114	1851	6199
115	1877	6214
116	1917	6276
117	2059	6666
118	2115	6771
119	2202	6975
120	2299	7203
121	2352	7289
122	2390	7328
123	2410	7309
124	2449	7348
125	2468	7326
126	2501	7346
127	2528	7347
128	2553	7342
129	2589	7368
130	2609	7351
131	2637	7354
132	2658	7334
133	2688	7342
134	2743	7418
135	2774	7424
136	2896	7674
137	2935	7699
138	2962	7694
139	2989	7688
140	3012	7669
141	3038	7660
142	3059	7639
143	3079	7612
144	3110	7616
145	3141	7617
146	3170	7614
147	3256	7745
148	3281	7730
149	3313	7731
150	3340	7721
151	3365	7705
152	3391	7692
153	3422	7688
154	3450	7679
155	3481	7678
156	3527	7705
157	3549	7683
158	3595	7710
159	3621	7695
160	3638	7660
161	3658	7633
162	3673	7594
163	3692	7564
164	3706	7524
165	3725	7495
166	3742	7463
167	3756	7422
168	3775	7394
169	3797	7371
170	3814	7339
171	3839	7322
172	3864	7304
173	3894	7296
174	3934	7306
175	3952	7276
176	3983	7269
177	4005	7245
178	4024	7217
179	4040	7183
180	4061	7158
181	4071	7114
182	4081	7069
183	4096	7035
184	4111	7001
185	4127	6967
186	4134	6920
187	4144	6877
188	4150	6828
189	4161	6790
190	4177	6759
191	4190	6721
192	4207	6692
193	4223	6661
194	4237	6627
195	4252	6596
196	4261	6554
197	4275	6521
198	4289	6488
199	4302	6453
200	4316	6420
201	4326	6382
202	4336	6344
203	4354	6318
204	4373	6294
205	4394	6272
206	4410	6243
207	4422	6209
208	4432	6171
209	4453	6150
210	4483	6140
211	4521	6142
212	4544	6122
213	4556	6089
214	4567	6054
215	4582	6024
216	4599	5998
217	4618	5974
218	4634	5946
219	4650	5918
220	4665	5889
221	4671	5850
222	4689	5825
223	4704	5796
224	4715	5763
225	4730	5735
226	4758	5723
227	4781	5703
228	4821	5706
229	4840	5682
230	4870	5671
231	4884	5642
232	4907	5623
233	4926	5600
234	4942	5573
235	4956	5544
236	4974	5519
237	4995	5499
238	5013	5474
239	5019	5437
240	5028	5403
241	5038	5372
242	5059	5350
243	5070	5319
244	5078	5285
245	5089	5255
246	5101	5225
247	5117	5199
248	5140	5182
249	5161	5161
250	5174	5132
251	5180	5098
252	5195	5072
253	5214	5050
254	5231	5026
255	5252	5006
256	5269	4982
257	5275	4948
258	5291	4923
259	5305	4897
260	5315	4867
261	5322	4835
262	5329	4802
263	5340	4774
264	5358	4751
265	5372	4725
266	5378	4693
267	5392	4668
268	5406	4642
269	5420	4617
270	5435	4593
271	5447	4566
272	5460	4540
273	5474	4515
274	5505	4504
275	5527	4486
276	5554	4471
277	5569	4447
278	5576	4417
279	5587	4390
280	5596	4361
281	5606	4333
282	5614	4305
283	5622	4276
284	5630	4247
285	5641	4220
286	5654	4196
287	5665	4170
288	5678	4145
289	5693	4122
290	5713	4103
291	5729	4081
292	5752	4063
293	5763	4038
294	5778	4015
295	5801	3997
296	5818	3977
297	5837	3956
298	5856	3936
299	5869	3913
300	5887	3892
301	5896	3865
302	5906	3840
303	5914	3813
304	5928	3790
305	5949	3771
306	5970	3753
307	5986	3731
308	6005	3712
309	6030	3695
310	6060	3683
311	6082	3665
312	6105	3647
313	6128	3630
314	6155	3615
315	6173	3594
316	6187	3572
317	6219	3559
318	6228	3533
319	6242	3511
320	6261	3491
321	6340	3504
322	6361	3486
323	6397	3475
324	6432	3463
325	6458	3447
326	6481	3429
327	6497	3407
328	6510	3383
329	6526	3362
330	6540	3339
331	6558	3318
332	6577	3298
333	6596	3278
334	6612	3257
335	6637	3239
336	6656	3219
337	6670	3196
338	6682	3173
339	6695	3150
340	6712	3130
341	6727	3108
342	6745	3087
343	6762	3066
344	6778	3045
345	6784	3019
346	6795	2996
347	6811	2974
348	6840	2959
349	6863	2941
350	6884	2922
351	6905	2903
352	6927	2884
353	7018	2894
354	7046	2878
355	7079	2863
356	7112	2849
357	7138	2831
358	7167	2815
359	7188	2795
360	7213	2777
361	7239	2759
362	7272	2744
363	7294	2725
364	7321	2707
365	7342	2688
366	7371	2671
367	7393	2651
368	7419	2634
369	7468	2623
370	7485	2602
371	7506	2582
372	7536	2565
373	7553	2544
374	7572	2524
375	7594	2504
376	7620	2486
377	7645	2467
378	7665	2447
379	7682	2426
380	7706	2406
381	7727	2386
382	7755	2369
383	7781	2350
384	7807	2332
385	7833	2313
386	7863	2296
387	7887	2276
388	7907	2256
389	7950	2242
390	7971	2222
391	7988	2200
392	8016	2182
393	8052	2166
394	8075	2146
395	8105	2128
396	8129	2109
397	8153	2089
398	8176	2069
399	8197	2049
400	8222	2030
401	8249	2011
402	8270	1990
403	8293	1970
404	8316	1950
405	8344	1931
406	8376	1914
407	8394	1892
408	8413	1871
409	8446	1854
410	8473	1834
411	8492	1813
412	8512	1793
413	8555	1777
414	8588	1759
415	8617	1740
416	8654	1722
417	8692	1705
418	8709	1683
419	8739	1664
420	8768	1645
421	8792	1625
422	8816	1604
423	8836	1583
424	8852	1562
425	8868	1540
426	8897	1521
427	8914	1499
428	8955	1482
429	9052	1473
430	9162	1466
431	9200	1448
432	9212	1425
433	9246	1406
434	9262	1384
435	9298	1364
436	9313	1342
437	9341	1322
438	9357	1300
439	9367	1277
440	9392	1256
441	9399	1233
442	9407	1210
443	9419	1188
444	9439	1166
445	9446	1143
446	9453	1120
447	9459	1098
448	9471	1075
449	9487	1054
450	9499	1032
451	9511	1010
452	9523	988
453	9539	966
454	9551	944
455	9567	923
456	9586	901
457	9598	880
458	9608	858
459	9621	836
460	9635	815
461	9655	794
462	9671	772
463	9688	751
464	9700	730
465	9713	708
466	9724	687
467	9734	665
468	9747	644
469	9760	623
470	9779	602
471	9796	581
472	9807	559
473	9822	538
474	9833	517
475	9847	496
476	9861	475
477	9873	454
478	9886	433
479	9897	412
480	9908	391
481	9931	370
482	9945	350
483	9963	329
484	9980	308
485	9991	287
486	9998	266
487	10008	246
488	10018	225
489	10026	204
490	10036	183
491	10043	163
492	10053	142
493	10065	122
494	10075	101
495	10084	81
496	10090	60
497	10096	40
498	10102	20
499	10110	0
