iter	Passed	Remaining
0	8	4478
1	15	3930
2	24	4052
3	34	4241
4	41	4126
5	48	4014
6	55	3890
7	60	3744
8	68	3719
9	75	3689
10	82	3670
11	89	3637
12	95	3579
13	103	3577
14	111	3618
15	119	3600
16	127	3611
17	133	3569
18	140	3549
19	147	3541
20	153	3497
21	160	3494
22	166	3451
23	170	3375
24	174	3317
25	178	3253
26	181	3185
27	185	3130
28	189	3079
29	193	3032
30	197	2986
31	201	2948
32	205	2903
33	208	2856
34	212	2823
35	216	2784
36	222	2782
37	226	2753
38	230	2720
39	234	2694
40	238	2664
41	241	2631
42	244	2602
43	248	2573
44	251	2543
45	255	2522
46	259	2498
47	262	2476
48	267	2458
49	270	2438
50	278	2449
51	288	2483
52	297	2508
53	307	2540
54	316	2561
55	324	2572
56	334	2603
57	339	2584
58	343	2566
59	347	2546
60	350	2525
61	354	2506
62	358	2489
63	362	2471
64	366	2453
65	371	2439
66	374	2422
67	378	2406
68	384	2401
69	388	2384
70	392	2373
71	398	2371
72	403	2358
73	407	2343
74	410	2328
75	414	2313
76	417	2296
77	422	2283
78	426	2270
79	429	2256
80	433	2243
81	437	2232
82	442	2221
83	445	2206
84	449	2194
85	453	2184
86	457	2172
87	460	2157
88	466	2156
89	473	2156
90	477	2144
91	481	2135
92	485	2126
93	498	2152
94	506	2159
95	510	2147
96	514	2136
97	519	2131
98	524	2122
99	528	2113
100	531	2101
101	537	2097
102	545	2103
103	550	2095
104	554	2085
105	558	2076
106	562	2066
107	567	2058
108	571	2051
109	575	2040
110	579	2029
111	583	2022
112	588	2014
113	592	2005
114	595	1995
115	600	1989
116	605	1981
117	608	1971
118	612	1962
119	617	1954
120	621	1946
121	624	1936
122	628	1927
123	632	1917
124	637	1911
125	641	1903
126	645	1895
127	649	1888
128	653	1879
129	658	1875
130	663	1867
131	666	1859
132	670	1850
133	676	1847
134	680	1839
135	684	1831
136	688	1823
137	691	1815
138	696	1808
139	699	1799
140	703	1792
141	708	1785
142	711	1777
143	715	1769
144	719	1761
145	723	1754
146	727	1747
147	733	1744
148	737	1737
149	744	1737
150	749	1732
151	753	1724
152	757	1716
153	760	1708
154	764	1700
155	767	1692
156	770	1684
157	775	1677
158	779	1671
159	783	1663
160	791	1667
161	798	1666
162	805	1664
163	813	1666
164	817	1659
165	820	1651
166	825	1645
167	829	1639
168	833	1632
169	837	1625
170	841	1619
171	845	1611
172	848	1603
173	852	1597
174	858	1593
175	861	1586
176	866	1580
177	869	1573
178	874	1567
179	878	1561
180	881	1554
181	886	1548
182	890	1542
183	894	1536
184	898	1529
185	901	1522
186	905	1516
187	909	1510
188	913	1503
189	917	1496
190	921	1490
191	925	1484
192	928	1477
193	932	1471
194	936	1464
195	940	1458
196	944	1452
197	948	1446
198	951	1439
199	955	1433
200	959	1427
201	964	1422
202	967	1416
203	972	1410
204	976	1405
205	980	1399
206	984	1392
207	988	1387
208	992	1381
209	996	1375
210	1000	1370
211	1003	1363
212	1007	1357
213	1011	1351
214	1014	1345
215	1018	1338
216	1021	1332
217	1025	1326
218	1029	1321
219	1034	1316
220	1037	1309
221	1041	1304
222	1045	1298
223	1049	1292
224	1054	1288
225	1057	1282
226	1061	1276
227	1065	1271
228	1069	1266
229	1079	1266
230	1087	1266
231	1091	1261
232	1095	1255
233	1101	1252
234	1105	1246
235	1109	1240
236	1113	1235
237	1117	1229
238	1120	1223
239	1126	1220
240	1131	1216
241	1135	1210
242	1139	1205
243	1144	1200
244	1147	1194
245	1151	1189
246	1155	1183
247	1165	1184
248	1175	1184
249	1180	1180
250	1183	1174
251	1187	1168
252	1191	1163
253	1196	1158
254	1199	1152
255	1203	1146
256	1206	1141
257	1210	1135
258	1214	1130
259	1218	1124
260	1222	1119
261	1226	1113
262	1230	1108
263	1234	1103
264	1237	1097
265	1241	1092
266	1248	1089
267	1257	1088
268	1268	1089
269	1277	1088
270	1286	1087
271	1297	1087
272	1301	1082
273	1305	1077
274	1309	1071
275	1314	1066
276	1318	1061
277	1322	1055
278	1325	1050
279	1329	1044
280	1333	1039
281	1339	1035
282	1342	1029
283	1347	1024
284	1351	1019
285	1355	1014
286	1359	1008
287	1367	1006
288	1371	1000
289	1375	995
290	1378	990
291	1383	985
292	1387	979
293	1391	975
294	1395	969
295	1399	964
296	1403	959
297	1407	953
298	1411	948
299	1415	943
300	1419	938
301	1423	933
302	1427	927
303	1430	922
304	1438	919
305	1445	916
306	1449	911
307	1454	906
308	1459	902
309	1463	897
310	1466	891
311	1470	886
312	1474	880
313	1478	875
314	1482	870
315	1486	865
316	1490	860
317	1494	855
318	1498	850
319	1502	844
320	1510	842
321	1523	841
322	1530	838
323	1535	834
324	1540	829
325	1544	824
326	1548	819
327	1558	817
328	1562	811
329	1565	806
330	1569	801
331	1573	796
332	1577	791
333	1580	785
334	1584	780
335	1587	774
336	1591	769
337	1595	764
338	1599	759
339	1603	754
340	1608	749
341	1612	744
342	1616	739
343	1620	735
344	1624	729
345	1634	727
346	1639	722
347	1645	718
348	1651	714
349	1656	709
350	1660	704
351	1664	699
352	1668	695
353	1673	690
354	1677	685
355	1680	679
356	1684	674
357	1687	669
358	1690	664
359	1694	659
360	1701	654
361	1705	650
362	1709	645
363	1713	640
364	1716	634
365	1720	629
366	1724	624
367	1728	619
368	1732	615
369	1736	610
370	1739	605
371	1743	599
372	1747	594
373	1750	589
374	1755	585
375	1759	580
376	1762	575
377	1766	570
378	1770	565
379	1774	560
380	1778	555
381	1782	550
382	1786	545
383	1790	540
384	1794	536
385	1798	531
386	1802	526
387	1806	521
388	1811	516
389	1815	511
390	1819	507
391	1823	502
392	1826	497
393	1830	492
394	1834	487
395	1838	482
396	1842	478
397	1849	474
398	1861	471
399	1870	467
400	1874	462
401	1880	458
402	1884	453
403	1889	449
404	1894	444
405	1900	439
406	1905	435
407	1910	430
408	1915	426
409	1921	421
410	1925	416
411	1929	412
412	1933	407
413	1936	402
414	1951	399
415	1961	396
416	1969	391
417	1976	387
418	1986	384
419	1997	380
420	2006	376
421	2015	372
422	2031	369
423	2044	366
424	2056	362
425	2069	359
426	2080	355
427	2090	351
428	2101	347
429	2110	343
430	2119	339
431	2129	335
432	2140	331
433	2151	327
434	2162	323
435	2173	319
436	2183	314
437	2194	310
438	2204	306
439	2215	302
440	2224	297
441	2234	293
442	2245	288
443	2255	284
444	2265	279
445	2275	275
446	2285	270
447	2294	266
448	2307	262
449	2320	257
450	2332	253
451	2344	249
452	2357	244
453	2370	240
454	2379	235
455	2389	230
456	2396	225
457	2405	220
458	2417	215
459	2427	211
460	2436	206
461	2446	201
462	2457	196
463	2467	191
464	2477	186
465	2490	181
466	2500	176
467	2511	171
468	2520	166
469	2530	161
470	2539	156
471	2550	151
472	2560	146
473	2575	141
474	2589	136
475	2601	131
476	2615	126
477	2627	120
478	2637	115
479	2649	110
480	2657	104
481	2671	99
482	2685	94
483	2699	89
484	2714	83
485	2728	78
486	2744	73
487	2754	67
488	2763	62
489	2772	56
490	2782	51
491	2792	45
492	2803	39
493	2812	34
494	2823	28
495	2833	22
496	2846	17
497	2858	11
498	2877	5
499	2892	0
