iter	F1	Logloss
0	0.5126120741	0.691650084
1	0.5840765717	0.6900687628
2	0.6006038387	0.6886200561
3	0.6455521309	0.6871309387
4	0.6495278069	0.6853942814
5	0.6361928616	0.6841386561
6	0.6535721555	0.682742671
7	0.6554553743	0.6812227215
8	0.657726303	0.6797060886
9	0.6611150604	0.6782415015
10	0.6584992343	0.6769118349
11	0.6606353449	0.675506797
12	0.6638447243	0.6742083435
13	0.6623980171	0.6726493449
14	0.6616479324	0.6711752385
15	0.6599749059	0.6698354225
16	0.6622916667	0.668392372
17	0.6650757419	0.6669450057
18	0.6651490066	0.6656815279
19	0.6650144568	0.6645325226
20	0.6647523331	0.663280476
21	0.6660514713	0.6620519282
22	0.6614577979	0.6608703994
23	0.6612538541	0.6597104855
24	0.6642747309	0.658530975
25	0.6669398627	0.657422932
26	0.6675570166	0.6564386402
27	0.6683799342	0.6553461646
28	0.6670767969	0.6542133203
29	0.6662567886	0.6531113957
30	0.6661201066	0.6517176851
31	0.6667351551	0.6507418385
32	0.6678974359	0.6495938441
33	0.6663248564	0.6485451519
34	0.6655751126	0.6474151887
35	0.6700704585	0.6464089898
36	0.6705521472	0.6451751688
37	0.6701495595	0.644089249
38	0.6708290686	0.6430150392
39	0.6723412983	0.6420639507
40	0.6701678509	0.6411378616
41	0.6696888523	0.6401581533
42	0.6704405105	0.6391646515
43	0.6711948132	0.6381525341
44	0.671268157	0.63732871
45	0.6691373276	0.6362391244
46	0.6692038675	0.6354329146
47	0.6669414674	0.6345355663
48	0.667490984	0.6336010549
49	0.6681762042	0.6326939025
50	0.6689307399	0.6316754562
51	0.6703658035	0.6308788372
52	0.6706451281	0.6301019604
53	0.6698200514	0.6291526044
54	0.6715988492	0.6282482867
55	0.6715283484	0.6272627189
56	0.6758337609	0.626357508
57	0.6765188834	0.625570712
58	0.6777709233	0.6247474712
59	0.6772769278	0.6239041796
60	0.6776281985	0.6229998405
61	0.6774525969	0.6222189291
62	0.6775291327	0.6214861415
63	0.6786155748	0.6205491245
64	0.6791791276	0.6196820263
65	0.6795096322	0.6188508514
66	0.6804526749	0.6178884972
67	0.6794977357	0.6172633758
68	0.6794159984	0.6164778656
69	0.679454303	0.6157628456
70	0.6823312128	0.6150020107
71	0.6834222405	0.6141257538
72	0.6838974359	0.6132435197
73	0.6842914233	0.6123930179
74	0.6844153185	0.6115326591
75	0.6846902202	0.6108252039
76	0.6846090872	0.6100585008
77	0.6855390904	0.6093596939
78	0.6850602902	0.6087493284
