iter	Passed	Remaining
0	4	2353
1	8	2155
2	14	2342
3	22	2789
4	28	2860
5	32	2702
6	37	2625
7	43	2693
8	52	2885
9	60	2971
10	78	3495
11	87	3575
12	93	3512
13	98	3415
14	107	3461
15	122	3713
16	127	3628
17	132	3540
18	136	3467
19	142	3418
20	147	3365
21	151	3288
22	155	3225
23	168	3343
24	179	3406
25	184	3355
26	188	3303
27	194	3277
28	198	3231
29	203	3182
30	210	3184
31	214	3140
32	218	3097
33	222	3052
34	227	3025
35	232	2992
36	236	2964
37	241	2935
38	246	2908
39	250	2880
40	254	2854
41	259	2827
42	263	2801
43	267	2769
44	278	2817
45	290	2866
46	301	2908
47	313	2948
48	322	2969
49	329	2969
50	334	2942
51	339	2921
52	343	2898
53	348	2878
54	357	2893
55	362	2875
56	371	2885
57	375	2860
58	379	2839
59	385	2823
60	389	2801
61	393	2778
62	398	2762
63	416	2840
64	421	2821
65	425	2798
66	431	2790
67	436	2772
68	441	2757
69	446	2739
70	466	2819
71	474	2823
72	480	2810
73	485	2797
74	493	2794
75	498	2778
76	515	2830
77	519	2810
78	523	2789
79	527	2770
80	532	2756
81	537	2740
82	543	2729
83	557	2759
84	561	2743
85	566	2729
86	571	2712
87	576	2700
88	581	2684
89	586	2672
90	591	2657
91	596	2645
92	600	2629
93	604	2611
94	609	2598
95	613	2583
96	618	2567
97	622	2554
98	627	2541
99	632	2530
100	636	2515
101	640	2500
102	645	2489
103	650	2477
104	655	2464
105	660	2455
106	665	2444
107	669	2429
108	674	2417
109	679	2408
110	683	2396
111	688	2386
112	692	2372
113	699	2367
114	703	2356
115	707	2343
116	712	2331
117	716	2319
118	721	2309
119	726	2299
120	733	2297
121	738	2289
122	744	2281
123	748	2270
124	753	2259
125	757	2249
126	761	2237
127	766	2227
128	771	2218
129	775	2205
130	779	2196
131	784	2186
132	789	2178
133	794	2169
134	798	2158
135	803	2149
136	807	2139
137	811	2129
138	816	2120
139	820	2110
140	825	2102
141	829	2091
142	834	2083
143	840	2078
144	845	2070
145	850	2062
146	855	2054
147	860	2045
148	864	2036
149	869	2027
150	873	2019
151	878	2011
152	883	2004
153	888	1996
154	893	1987
155	897	1979
156	902	1971
157	906	1962
158	911	1953
159	915	1945
160	919	1936
161	924	1929
162	929	1921
163	935	1916
164	940	1908
165	945	1901
166	949	1894
167	954	1886
168	959	1879
169	964	1871
170	968	1863
171	973	1856
172	982	1857
173	1009	1891
174	1021	1897
175	1029	1895
176	1041	1900
177	1051	1902
178	1061	1904
179	1073	1907
180	1090	1921
181	1101	1925
182	1114	1931
183	1128	1937
184	1140	1941
185	1156	1951
186	1168	1955
187	1178	1956
188	1188	1955
189	1201	1960
190	1212	1962
191	1223	1963
192	1233	1962
193	1243	1961
194	1251	1957
195	1256	1949
196	1266	1947
197	1274	1943
198	1281	1938
199	1286	1929
200	1290	1919
201	1295	1910
202	1303	1906
203	1307	1897
